N_split,mean
100.0,2.132231638082599
200.0,1.678398433669824
300.0,1.495906715557851
400.0,1.3917566378539807
500.0,1.3154529555485432
600.0,1.2623656669628323
700.0,1.2279356487236495
800.0,1.1950836138841032
900.0,1.168413703068536
1000.0,1.1469056977426884
